BST_Sorted_Insert	
	
296625	1
	
14332833	2
	
14508333	3
	
14651125	4
	
14819000	5
	
14967750	6
	
15098875	7
	
15224375	8
	
15351792	9
	
15500542	10
	
15659375	11
	
15976542	12
	
16216583	13
	
16568958	14
	
16743000	15
	
16919500	16
	
17059458	17
	
17207000	18
	
17742208	19
	
17948000	20
	
18100500	21
	
18380458	22
	
18556208	23
	
18782292	24
	
19140583	25
	
19323500	26
	
19473667	27
	
19636083	28
	
19786625	29
	
19933625	30
	
20088750	31
	
20220042	32
	
20344792	33
	
20503125	34
	
20628792	35
	
20774250	36
	
20907917	37
	
21057625	38
	
21183417	39
	
21329625	40
	
21452250	41
	
21597125	42
	
21727250	43
	
21928542	44
	
22085792	45
	
22214792	46
	
22329208	47
	
22465917	48
	
22586708	49
	
22723042	50
	
22912292	51
	
23084375	52
	
23210167	53
	
23518833	54
	
23989458	55
	
24167292	56
	
24963333	57
	
25134250	58
	
25335792	59
	
25567583	60
	
25727917	61
	
25959750	62
	
26257542	63
	
26719542	64
	
27432583	65
	
27653083	66
	
27834917	67
	
28052583	68
	
28239208	69
	
28474000	70
	
28742583	71
	
28903375	72
	
29099292	73
	
29274000	74
	
29439000	75
	
29631500	76
	
29752083	77
	
29874542	78
	
30011000	79
	
30147042	80
	
30280792	81
	
30414417	82
	
30545500	83
	
30679000	84
	
30794458	85
	
30904833	86
	
31012500	87
	
31231333	88
	
31435708	89
	
31602333	90
	
31756625	91
	
31887958	92
	
32056875	93
	
32220583	94
	
32345583	95
	
32460583	96
	
32579375	97
	
32706000	98
	
32850417	99
	
32978833	100
	
AVL_Sorted_Insert	
	
411500	1
	
841916	2
	
1003916	3
	
1172958	4
	
1318875	5
	
1496041	6
	
1638500	7
	
1843000	8
	
1961625	9
	
2057041	10
	
2163625	11
	
2264125	12
	
2379166	13
	
2479708	14
	
2601250	15
	
2714708	16
	
2827041	17
	
2927041	18
	
3034791	19
	
3132208	20
	
3388416	21
	
3494625	22
	
3607791	23
	
3702083	24
	
3824541	25
	
3951875	26
	
4166791	27
	
4300458	28
	
4429458	29
	
4533250	30
	
4648708	31
	
4767666	32
	
4880833	33
	
5003958	34
	
5116958	35
	
5209875	36
	
5302708	37
	
5398958	38
	
5585666	39
	
5805166	40
	
5956583	41
	
6131750	42
	
6268000	43
	
6458833	44
	
6702708	45
	
7044375	46
	
7219208	47
	
7373125	48
	
7655500	49
	
8043291	50
	
8316375	51
	
8574041	52
	
8716833	53
	
8856416	54
	
9006250	55
	
9125250	56
	
9243375	57
	
9359458	58
	
9458958	59
	
9574833	60
	
9842916	61
	
10058958	62
	
10952333	63
	
11097750	64
	
11205416	65
	
11452166	66
	
11620041	67
	
11771958	68
	
11950708	69
	
12217500	70
	
12517500	71
	
12999250	72
	
13233000	73
	
13360708	74
	
13467458	75
	
13575708	76
	
14501666	77
	
14693000	78
	
14907166	79
	
15056708	80
	
15164291	81
	
15265166	82
	
15358291	83
	
15472333	84
	
15592375	85
	
15711375	86
	
15829541	87
	
15947125	88
	
16052041	89
	
16191333	90
	
16335083	91
	
16459291	92
	
16574291	93
	
16687208	94
	
16802125	95
	
16897625	96
	
16989458	97
	
17310000	98
	
17654666	99
	
17777500	100
	
BST_Sorted_Search	
	
8750	1
	
841750	2
	
1102833	3
	
1233667	4
	
1356708	5
	
1669958	6
	
1801542	7
	
1966625	8
	
2129500	9
	
2354042	10
	
2513667	11
	
2707583	12
	
2879625	13
	
3009542	14
	
3134833	15
	
3617000	16
	
3819042	17
	
3983083	18
	
4138833	19
	
4297208	20
	
4427792	21
	
4574042	22
	
4724625	23
	
4854750	24
	
5033417	25
	
5160417	26
	
5309958	27
	
5442917	28
	
5576458	29
	
6982042	30
	
7174292	31
	
7639125	32
	
7833250	33
	
8184708	34
	
8304458	35
	
8411708	36
	
8526708	37
	
8634083	38
	
8737208	39
	
8837708	40
	
8984958	41
	
9143500	42
	
9265583	43
	
9396167	44
	
9571250	45
	
9770333	46
	
9939417	47
	
10111042	48
	
10330500	49
	
10516333	50
	
10675708	51
	
10890167	52
	
11035792	53
	
11199542	54
	
11349500	55
	
11502167	56
	
11644083	57
	
11786875	58
	
11903333	59
	
12022917	60
	
12168583	61
	
12298458	62
	
12420708	63
	
12564375	64
	
12681042	65
	
12847083	66
	
12964292	67
	
13085833	68
	
13230000	69
	
13374667	70
	
13526250	71
	
13668167	72
	
13808417	73
	
13950833	74
	
14086208	75
	
14211708	76
	
14327500	77
	
14445542	78
	
14559750	79
	
14677250	80
	
14794042	81
	
14935125	82
	
15079292	83
	
15211792	84
	
15344833	85
	
15474542	86
	
15607875	87
	
15787208	88
	
15989917	89
	
16150875	90
	
16284125	91
	
16460417	92
	
16706417	93
	
16947333	94
	
17172000	95
	
17337167	96
	
17514708	97
	
17655208	98
	
17859583	99
	
18055458	100
	
AVL_Sorted_Search	
	
7250	1
	
220625	2
	
315417	3
	
405833	4
	
485083	5
	
572208	6
	
660292	7
	
763250	8
	
840708	9
	
915917	10
	
985208	11
	
1059083	12
	
1129792	13
	
1194292	14
	
1255417	15
	
1318500	16
	
1383000	17
	
1453542	18
	
1526917	19
	
1610667	20
	
1692833	21
	
1793542	22
	
1866917	23
	
1951958	24
	
2031708	25
	
2104958	26
	
2175750	27
	
2244917	28
	
2326708	29
	
2394083	30
	
2482542	31
	
2552042	32
	
2634375	33
	
2700542	34
	
2769958	35
	
2840708	36
	
2894583	37
	
2955500	38
	
3014792	39
	
3078458	40
	
3143375	41
	
3207500	42
	
3270625	43
	
3340167	44
	
3414000	45
	
3480125	46
	
3564292	47
	
3640542	48
	
3705417	49
	
3782333	50
	
3858875	51
	
3926333	52
	
4026125	53
	
4087917	54
	
4178667	55
	
4267083	56
	
4345833	57
	
4408708	58
	
4482083	59
	
4563875	60
	
4642042	61
	
4730042	62
	
4810875	63
	
4884167	64
	
4969750	65
	
5034875	66
	
5099250	67
	
5205917	68
	
5280333	69
	
5359958	70
	
5425417	71
	
5492042	72
	
5571792	73
	
5689125	74
	
5775250	75
	
5875375	76
	
5958792	77
	
6042958	78
	
6125792	79
	
6196792	80
	
6338333	81
	
6424708	82
	
6549083	83
	
6624333	84
	
6729250	85
	
6806042	86
	
6874875	87
	
6946167	88
	
7011958	89
	
7061458	90
	
7114792	91
	
7166833	92
	
7216083	93
	
7313000	94
	
7393583	95
	
7492333	96
	
7561750	97
	
7642708	98
	
7707125	99
	
7768458	100
	
BST_Shuffled_Insert	
	
5542	1
	
519750	2
	
680000	3
	
847583	4
	
974917	5
	
1160667	6
	
1270583	7
	
1473083	8
	
1624292	9
	
1765250	10
	
1879833	11
	
1980250	12
	
2082750	13
	
2185000	14
	
2299792	15
	
2422042	16
	
2570792	17
	
2726000	18
	
2865458	19
	
2984875	20
	
3470208	21
	
3583583	22
	
3684750	23
	
3775167	24
	
3866125	25
	
3966125	26
	
4275708	27
	
4428750	28
	
5291667	29
	
5641750	30
	
5740708	31
	
5825667	32
	
5906375	33
	
5981958	34
	
6296417	35
	
10690125	36
	
12844250	37
	
14314083	38
	
14871708	39
	
14982333	40
	
15068750	41
	
15179500	42
	
15258417	43
	
15343000	44
	
15768583	45
	
15963292	46
	
16078458	47
	
16177042	48
	
16270417	49
	
16372583	50
	
16461458	51
	
16564375	52
	
16684167	53
	
16879500	54
	
17045875	55
	
17180167	56
	
17462500	57
	
17634625	58
	
17760458	59
	
17917958	60
	
18019125	61
	
18119458	62
	
18231792	63
	
18442000	64
	
18568833	65
	
18672125	66
	
18806583	67
	
18891208	68
	
18973417	69
	
19857292	70
	
20110875	71
	
20257083	72
	
20431375	73
	
20638250	74
	
20970625	75
	
21180458	76
	
21350417	77
	
21522833	78
	
21625875	79
	
21714583	80
	
21802667	81
	
21901083	82
	
21977083	83
	
22054542	84
	
22130042	85
	
22227292	86
	
22323792	87
	
22414542	88
	
22499125	89
	
22582000	90
	
22651375	91
	
22732167	92
	
22809208	93
	
22909000	94
	
22992875	95
	
23075208	96
	
23146042	97
	
23223500	98
	
23321375	99
	
23472333	100
	
AVL_Shuffled_Insert	
	
27458	1
	
520500	2
	
640416	3
	
729083	4
	
819500	5
	
944833	6
	
2457458	7
	
2766625	8
	
3142083	9
	
3272416	10
	
3521375	11
	
3920541	12
	
4212708	13
	
4376750	14
	
4486791	15
	
4566583	16
	
4657791	17
	
4740875	18
	
4840291	19
	
4918791	20
	
4996750	21
	
5080708	22
	
5156250	23
	
5232541	24
	
5303916	25
	
5395041	26
	
5485083	27
	
5573875	28
	
5662416	29
	
5776250	30
	
5897291	31
	
5988083	32
	
6073250	33
	
6167041	34
	
6250083	35
	
6344583	36
	
6422375	37
	
6494708	38
	
6566250	39
	
6644625	40
	
6730291	41
	
6807416	42
	
6913416	43
	
6990416	44
	
7073791	45
	
7146875	46
	
7228166	47
	
7324708	48
	
7413083	49
	
7504666	50
	
7576791	51
	
7654333	52
	
7723666	53
	
7823666	54
	
7891166	55
	
7963541	56
	
8046000	57
	
8122750	58
	
8204625	59
	
8274583	60
	
8355875	61
	
8437500	62
	
8511666	63
	
8590625	64
	
8668500	65
	
8879000	66
	
9006500	67
	
9125291	68
	
9212958	69
	
9287833	70
	
9352000	71
	
9462708	72
	
9536541	73
	
9608375	74
	
